"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","< VALUE >","-3DB BANDWIDTH","ACCESS TIME","ACCURACY","ADDRESS BUS WIDTH","APPROVALS","AVAILABILITY","AVERAGE RECTIFIED CURRENT","BANDWIDTH","BODY MATERIAL","BODY PLATING","BREAKDOWN VOLTAGE","BUILT_BY","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CLAMPING CURRENT","CLAMPING VOLTAGE","COIL CURRENT","COIL POWER","COIL RESISTANCE","COIL VOLTAGE (DC)","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COLOR","COMMENT","COMMENT_1","COMMON MODE REJECTION RATIO","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONNECTOR TYPE","CONTACT CURRENT RATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT RESISTANCE","CONTACT VOLTAGE RATING (AC)","CONTINUOUS DRAIN CURRENT (ID)","COPYRIGHT","CORE ARCHITECTURE","CORE MATERIAL","CURRENT","CURRENT RATING","CURRENT SENSING","CURRENT TRANSFER RATIO","DATA BUS WIDTH","DATA RATE","DATASHEETVERSION","DC CURRENT","DC RESISTANCE (DCR)","DENSITY","DEPTH","DEVICEDESIGNATOR","DEVICENUMBERING","DEVICESINPACKAGE","DEVICESINVIEW","DIAMETER","DIELECTRIC","DIELECTRIC MATERIAL","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","DIGIKEY-PURCHASE-URL","DIRECTION","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DRAIN TO SOURCE BREAKDOWN VOLTAGE","DRAIN TO SOURCE RESISTANCE","DRAIN TO SOURCE VOLTAGE (VDSS)","DROPOUT VOLTAGE","DUAL SUPPLY VOLTAGE","EFFICIENCY","ELEMENT CONFIGURATION","ELV","EMITTER BASE VOLTAGE (VEBO)","ENERGY","ESD PROTECTION","ESR (EQUIVALENT SERIES RESISTANCE)","EU_ROHS_COMPLIANCE","EVALUATION KIT","FALL TIME","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUSE CURRENT","GAIN BANDWIDTH PRODUCT","GATE TO SOURCE VOLTAGE (VGS)","GENDER","GOVERNMENT QUALIFIED","HALOGEN FREE","HEAVY DUTY","HEIGHT","HEIGHT - SEATED (MAX)","HFE MIN","HIGH LEVEL OUTPUT CURRENT","HOLD CURRENT","HOLE DIAMETER","HOUSING COLOR","HOUSING MATERIAL","ILLUMINATION COLOR","INDUCTANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INPUT CAPACITANCE","INPUT CURRENT","INPUT OFFSET VOLTAGE (VOS)","INSIDE DIAMETER","INSULATED WIRE SUPPORT","INSULATION","INSULATION DIAMETER","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","ISHETEROGENEOUS","ISOLATION VOLTAGE","LATESTREVISIONDATE","LATESTREVISIONNOTE","LEAD DIAMETER","LEAD FREE","LEAD LENGTH","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS STYLE","LIFE (HOURS)","LINEARITY","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MATERIAL","MATERIAL THICKNESS","MAX BREAKDOWN VOLTAGE","MAX COLLECTOR CURRENT","MAX CURRENT RATING","MAX DC CURRENT","MAX DUAL SUPPLY VOLTAGE","MAX FORWARD SURGE CURRENT (IFSM)","MAX FREQUENCY","MAX INPUT CURRENT","MAX INPUT VOLTAGE","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX RESET THRESHOLD VOLTAGE","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VARISTOR VOLTAGE","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MEMORY SIZE","MEMORY TYPE","MF","MILITARY STANDARD","MIN DUAL SUPPLY VOLTAGE","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN RESET THRESHOLD VOLTAGE","MIN SUPPLY VOLTAGE","MIN VARISTOR VOLTAGE","MOUNT","MOUSER-PURCHASE-URL","MP","NATURAL THERMAL RESISTANCE","NOMINAL INPUT VOLTAGE","NOMINAL SUPPLY CURRENT","NOMINAL VGS","NUMBER OF A/D CONVERTERS","NUMBER OF ADC CHANNELS","NUMBER OF AMPLIFIERS","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CELLS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF CORES PER JACK","NUMBER OF DRIVERS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF HOLES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF LEVELS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POLES","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF POSITIONS PER LEVEL","NUMBER OF PROGRAMMABLE I/O","NUMBER OF PWM CHANNELS","NUMBER OF RECEIVERS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF TRANSCEIVERS","NUMBER OF TRANSMITTERS","NUMBER OF UART CHANNELS","NUMBER OF VOLTAGES MONITORED","ON-STATE RESISTANCE","OPERATE TIME","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","ORIENTATION","ORIGINALSYMBOLORIGIN","OSCILLATOR TYPE","OUTPUT CONFIGURATION","OUTPUT CURRENT","OUTPUT CURRENT PER CHANNEL","OUTPUT TYPE","OUTPUT VOLTAGE","OUTSIDE DIAMETER","OVERVOLTAGE THRESHOLD","PACKAGE","PACKAGE QUANTITY","PACKAGEDESCRIPTION","PACKAGENAME","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PANEL MOUNT RETENTION","PCB MOUNT RETENTION","PCB MOUNTING ORIENTATION","PEAK NON-REPETITIVE SURGE CURRENT","PEAK PULSE POWER","PEAK REVERSE CURRENT","PERIPHERALS","PITCH","PLATING","PLATING THICKNESS","POLARITY","POLARIZED","POWER DISSIPATION","POWER RATING","POWER SUPPLY REJECTION RATIO (PSRR)","PRICE","PRICING 1","PRICING 2","PROPAGATION DELAY","PUBLISHED","PUBLISHER","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RDS ON MAX","REACH SVHC","RECOVERY TIME","REFDES","RESET","RESET TIMEOUT","RESISTANCE","RESPONSE TIME","REVERSE BREAKDOWN VOLTAGE","REVERSE RECOVERY TIME","REVERSE VOLTAGE","RIPPLE CURRENT","RISE TIME","RJ45","RMS CURRENT (IRMS)","ROW SPACING","SATURATION CURRENT","SCHMITT TRIGGER INPUT","SEALABLE","SELF RESONANT FREQUENCY","SENSITIVITY","SHIELDING","SHROUDED","SIMPLEX/DUPLEX","SLEW RATE","SNAPEDA_LINK","STOCK 1","STOCK 2","STUD DIAMETER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLY TYPE","SWITCHING FREQUENCY","SYNCHRONOUS RECTIFIER","TE_PURCHASE_URL","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THRESHOLD VOLTAGE","THROW CONFIGURATION","TIME FORMAT","TOLERANCE","TONGUE THICKNESS","TOPOLOGY","TRANSITION FREQUENCY","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","TYPE","UNDERVOLTAGE THRESHOLD","UNITY GAIN BANDWIDTH PRODUCT","VALUE","VARISTOR VOLTAGE","VENDOR","VIEWING ANGLE","VOLTAGE","VOLTAGE GAIN","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WATCHDOG TIMER","WEIGHT","WIDTH","WIRE GAUGE (MAX)","WIRE GAUGE (MIN)","WIRE/CABLE DIAMETER","WIRE/CABLE GAUGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CAP-0603_1","CAP-0603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18pF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C6","Ceramic CAP 0603(1608)"
"CONECTOR TORNILLO 2","277-1140","","","","","","","UL,CSA","","","","","","","","","","","","","","","","","","","","","","Grey,Green","*","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","","","","","","","","","","","","","","","","","Copper,Tin","","Tin","","","","","","","12A","12A","","","","","","","","","8.6mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","10mm","","","","","","Green","Polybutylene","","","","","","","","","","","","","","","","","","","","Lead Free","","","","10mm","","","","","","","","","Phoenix Contact","1753437","","","","","","12A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","2","","2","2","","","","1","","","","","","","","","","","","Straight","","","","","","","","","","","50","","","","","Bulk","","","","","","","","5mm","","","","","","","","","1=0.72, 10=0.688, 50=0.6584, 100=0.6404, 250=0.59852, 500=0.55062, 1000=0.50873, 2500=0.48479, 5000=0.45486 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7580","","","Digi-Key","","277-1073-ND","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","300V","","250V","","400V","","0.037778oz","15.9mm","","","","","*","U?",""
"CONECTOR TORNILLO 3","277-1141","","","","","","","UL,CSA","","","","","","","","","","","","","","","","","","","","","","Grey,Green","*","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753453.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753453.pdf?src-supplier=Digi-Key","https://www.alliedelec.com/m/d/04bf1952d21caef77442e0e02da47893.pdf?src-supplier=Allied+Electronics","https://www.alliedelec.com/m/d/04bf1952d21caef77442e0e02da47893.pdf?src-supplier=Allied+Electronics","https://produktinfo.conrad.com/datenblaetter/725000-749999/743827-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__3_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743827-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__3_G.pdf?src-supplier=Conrad","","","","","","","","","","","Copper,Tin","","Tin","","","","","","","12A","12A","","","","","","","","","8.6mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","10mm","","","","","","Green","Polybutylene","","","","","","","","","","","","","","","","","","","","Lead Free","","","","10mm","","","","","","","","","Phoenix Contact","1753437","","","","","","12A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","2","","2","2","","","","1","","","","","","","","","","","","Straight","","","","","","","","","","","50","","","","","Bulk","","","","","","","","5mm","","","","","","","","","1=1.06, 10=1.014, 50=0.9702, 100=0.9437, 250=0.882, 500=0.81144, 1000=0.7497, 2500=0.71442, 5000=0.67032 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2384","","","Digi-Key","","277-1074-ND","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","300V","","250V","","400V","","0.037778oz","15.9mm","","","","","*","U?",""
"CONECTOR TORNILLO 4","277-1075","","","","","","","UL,CSA","","","","","","","","","","","","","","","","","","","","","","Grey,Green","*","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","https://www.verical.com/server-webapp/html/getDatasheet?partID=247903&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=247903&src-supplier=Verical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1754478.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1754478.pdf?src-supplier=Digi-Key","https://produktinfo.conrad.com/datenblaetter/725000-749999/743854-da-01-en-GRUNDGEHAEUSE__MSTB_2_5__4_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743854-da-01-en-GRUNDGEHAEUSE__MSTB_2_5__4_G.pdf?src-supplier=Conrad","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753479.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753479.pdf?src-supplier=Digi-Key","https://www.verical.com/server-webapp/html/getDatasheet?partID=717945&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=717945&src-supplier=Verical","https://produktinfo.conrad.com/datenblaetter/725000-749999/743463-da-01-en-GRUNDGEHAEUSE___MSTBV_2_5__4_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743463-da-01-en-GRUNDGEHAEUSE___MSTBV_2_5__4_G.pdf?src-supplier=Conrad","","","","","Copper,Tin","","Tin","","","","","","","12A","12A","","","","","","","","","8.6mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","10mm","","","","","","Green","Polybutylene","","","","","","","","","","","","","","","","","","","","Lead Free","","","","10mm","","","","","","","","","Phoenix Contact","1753437","","","","","","12A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","2","","2","2","","","","1","","","","","","","","","","","","Straight","","","","","","","","","","","50","","","","","Bulk","","","","","","","","5mm","","","","","","","","","1=1.45, 10=1.389, 50=1.3282, 100=1.292, 250=1.20752, 500=1.1109, 1000=1.02637, 2500=0.97807, 5000=0.9177 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3061","","","Digi-Key","","277-1075-ND","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","300V","","250V","","400V","","0.037778oz","15.9mm","","","","","*","U?",""
"CONECTOR TORNILLO_POLAR","277-1140","","","","","","","UL,CSA","","","","","","","","","","","","","","","","","","","","","","Grey,Green","*","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=294641&src-supplier=Verical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1753437.pdf?src-supplier=Digi-Key","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","https://produktinfo.conrad.com/datenblaetter/725000-749999/743815-da-01-en-GRUNDGEHAEUSE__MSTBV_2_5__2_G.pdf?src-supplier=Conrad","","","","","","","","","","","","","","","","","Copper,Tin","","Tin","","","","","","","12A","12A","","","","","","","","","8.6mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","10mm","","","","","","Green","Polybutylene","","","","","","","","","","","","","","","","","","","","Lead Free","","","","10mm","","","","","","","","","Phoenix Contact","1753437","","","","","","12A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","2","","2","2","","","","1","","","","","","","","","","","","Straight","","","","","","","","","","","50","","","","","Bulk","","","","","","","","5mm","","","","","","","","","1=0.72, 10=0.688, 50=0.6584, 100=0.6404, 250=0.59852, 500=0.55062, 1000=0.50873, 2500=0.48479, 5000=0.45486 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7580","","","Digi-Key","","277-1073-ND","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","300V","","250V","","400V","","0.037778oz","15.9mm","","","","","*","U?",""
"CON_TC/IPRB1-125BAG1A","J1B1211CCD","","","","","","","","Unavailable","","","","","","","","","","100","","","","","","","","","","","Green,Yellow,Black","RB1-125BAG1A","","","","","","","http://www1.futureelectronics.com/doc/WIZNET%20INC/RB1-125BAG1A.pdf?src-supplier=Future+Electronics","http://www1.futureelectronics.com/doc/WIZNET%20INC/RB1-125BAG1A.pdf?src-supplier=Future+Electronics","http://www.jameco.com/Jameco/Products/ProdDS/2132875.pdf?src-supplier=Jameco","http://www.jameco.com/Jameco/Products/ProdDS/2132875.pdf?src-supplier=Jameco","https://www.shopwiznet.com/lanotattachments/download/file/id/95/store/1/?src-supplier=Digi-Key","https://www.shopwiznet.com/lanotattachments/download/file/id/95/store/1/?src-supplier=Digi-Key","http://www.mouser.com/ds/2/443/RB1-125BAG1A(111-00)-224696.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/443/RB1-125BAG1A(111-00)-224696.pdf?src-supplier=Mouser","","","","","","","","","","","","RJ45","","","Bronze","","Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","Down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thermoplastic","","","","","","","","","","","","","500MR","","","","","","","Lead Free","","","","","","","","","","","","","WIZnet","RB1-125BAG1A","","","","","","","","","","","","","70°C","","","","","","","","","","","","","","","WIZnet","","","","0°C","","","","","Through Hole","","RB1-125BAG1A","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","8","","","","","1","","","","","","","","","","","","","","","","","","","","","","HVQFN-36 NXP Semiconductors","420","","","","","Bulk","","","","","","","","","","","","","","","","None","1=2.55, 10=2.448, 25=2.244, 50=2.142, 100=2.04, 250=1.785, 500=1.734, 1000=1.56 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shielded","","","","https://www.snapeda.com/parts/RB1-125BAG1A/WIZnet/view-part/?ref=snap","11611","","","Digi-Key","","1278-1011-ND","","","","","","","Solder","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","*","P?","Accessory RJ-45 With Transformer Connector - UDE"
"CRISTAL 8MHZ_ATS Type","OSC-ATS Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8MHz","","","","","","","LFXTAL036274REEL","https://www.digikey.com/es/products/detail/iqd-frequency-products/LFXTAL036274REEL/8633816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","1923-1529-2-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y1","ATS Type Crystal"
"CRISTAL_32K","XTAL_CLK","","","","","","","","","","","","","","","","","","Radial","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50R","","","","","","","","","20MHz","50ppm","30ppm","","","","","","","","0.091inch","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","0.276inch","","","","","20pF","","","","ECS International","ECS-200-20-3X-EN-TR","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.53, 10=0.44, 50=0.396, 100=0.352, 500=0.3344, 1000=0.2816 (USD)","1=1.04, 10=0.92, 50=0.86, 100=0.76, 500=0.72, 1000=0.6, 2500=0.58, 5000=0.56, 10000=0.54 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16745","1865","","Digi-Key","Digi-Key","","300-1003-ND","","","","","","SMD/SMT","","","","","","","30ppm","","","","","","","","","","","","","","","","","","","","0.161inch","","","","","*","Y?",""
"CRYSTAL","XTAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","http://www.ecsxtal.com/store/pdf/CSM-3X.pdf?src-supplier=Digi-Key","http://www.ecsxtal.com/store/pdf/CSM-3X.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50R","","","","","","","","","20MHz","50ppm","30ppm","","","","","","","","0.091inch","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","0.276inch","","","","","20pF","","","","ECS International","ECS-200-20-3X-EN-TR","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.53, 10=0.44, 50=0.396, 100=0.352, 500=0.3344, 1000=0.2816 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16745","","","Digi-Key","","XC1796CT-ND","","","","","","","SMD/SMT","","","","","","","30ppm","","","","","","","","","","","","","","","","","","","","0.161inch","","","","","*","Y?",""
"Cap_150uF/25v smd","CAPAE660X800N","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","","","","","","","","EEE-FNE151XUP","https://www.digikey.com/es/products/detail/panasonic-electronic-components/EEE-FNE151XUP/11656894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","","","","Digi-Key","","10-EEE-FNE151XUPDKR-ND","","","","","","","Radial","","","","","","","20%","","","","","","","","","150uF/25V","","","","25V","","25V","","25V","","","","","","","","","C3","Capacitor"
"Cap_330uF_16V_smd","CAPAE1030X1030N","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","Cap_470","","","","","","","EEE-FC1C331AP","https://www.digikey.com/es/products/detail/panasonic-electronic-components/EEE-FC1C331AP/1141908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","","","","Digi-Key","","PCE4349CT-ND","","","","","","","Radial","","","","","","","20%","","","","","","","","","100pF","","","","25V","","25V","","25V","","","","","","","","","C1","Capacitor"
